old_target,target,step_cps,rise_time_s,peak_time_s,overshoot_cps,overshoot_percent,settling_time_s,settling_band_cps,steady_mean_cps,steady_mean_error_cps,steady_mae_cps,steady_rmse_cps,steady_error_std_cps,steady_speed_std_cps,steady_mean_pwm,steady_pwm_std,steady_mean_abs_pid,peak_abs_pid,saturation_fraction,kp,filename,segment,samples
0.0,2000.0,2000.0,0.18666666666666668,0.46,0.0,0.0,2.0300000000000002,150.0,1924.6666666666667,75.33333333333333,75.33333333333333,87.55950357709132,44.6268479231455,44.62684792314549,63.75637050000001,7.105427357601002e-15,0.0,0.0,0.0,0.0,right_kp_0.0.txt,0,299
2000.0,4000.0,2000.0,0.18333333333333335,0.51,0.0,0.0,2.62,150.0,3926.6666666666665,73.33333333333333,73.33333333333333,89.44271909999159,51.20763831912406,51.20763831912405,74.14274600000002,1.4210854715202004e-14,0.0,0.0,0.0,0.0,right_kp_0.0.txt,1,299
4000.0,6000.0,2000.0,0.2,0.59,0.0,0.0,2.17,150.0,5924.666666666667,75.33333333333333,75.33333333333333,89.06926143924925,47.5207556991913,47.520755699191305,84.5291214,0.0,0.0,0.0,0.0,0.0,right_kp_0.0.txt,2,299
0.0,-2000.0,-2000.0,0.15666666666666668,0.28,0.0,0.0,0.36,150.0,-1950.6666666666667,-49.333333333333336,49.333333333333336,70.23769168568492,49.99555535800713,49.99555535800713,-63.574714700000015,1.4210854715202004e-14,0.0,0.0,0.0,0.0,right_kp_0.0.txt,4,299
-2000.0,-4000.0,-2000.0,0.175,0.31,0.0,0.0,0.3,150.0,-3955.3333333333335,-44.666666666666664,44.666666666666664,66.8331255192114,49.71474183333909,49.71474183333909,-73.6594238,0.0,0.0,0.0,0.0,0.0,right_kp_0.0.txt,5,299
-4000.0,-6000.0,-2000.0,0.185,0.44,0.0,0.0,0.49,150.0,-5946.0,-54.0,54.0,73.48469228349535,49.839743177508446,49.839743177508446,-83.74413300000002,1.4210854715202004e-14,0.0,0.0,0.0,0.0,right_kp_0.0.txt,6,299
0.0,2000.0,2000.0,0.043333333333333335,0.71,100.00000000000009,5.000000000000004,0.06,150.0,1972.0,28.0,29.333333333333332,54.1602560309064,46.3609030685699,46.3609030685699,64.03637050000002,0.463609030685699,0.29333333333333333,20.0,0.0,0.01,right_kp_0.01.txt,0,300
2000.0,4000.0,2000.0,0.049999999999999996,0.15,100.00000000000009,5.000000000000004,0.09,150.0,3967.3333333333335,32.666666666666664,34.0,58.309518948453004,48.299988497813224,48.29998849781322,74.46941266666668,0.4829998849781321,0.34,20.0,0.0,0.01,right_kp_0.01.txt,1,300
4000.0,6000.0,2000.0,0.05333333333333335,0.12,0.0,0.0,0.07,150.0,5966.0,34.0,34.0,58.309518948453004,47.37087712930804,47.37087712930804,84.8691214,0.4737087712930804,0.34,20.0,0.006688963210702341,0.01,right_kp_0.01.txt,2,299
0.0,-2000.0,-2000.0,0.04,0.35000000000000003,100.00000000000009,5.000000000000004,0.06,150.0,-1977.3333333333333,-22.666666666666668,30.666666666666668,55.37749241945383,50.526120857323775,50.52612085732378,-63.80138136666668,0.5052612085732378,0.30666666666666664,20.0,0.0,0.01,right_kp_0.01.txt,4,299
