kp,filename,samples,transitions,mean_rise_time_s,mean_settling_time_s,max_overshoot_percent,mean_overshoot_percent,mean_steady_abs_bias_cps,mean_steady_mae_cps,mean_steady_rmse_cps,mean_steady_noise_cps,mean_pwm_std,mean_abs_pid,max_saturation_fraction
0.015,right_kp_0.015.txt,2400,6,0.03740079365079366,0.05333333333333334,5.000000000000004,5.000000000000004,16.0,25.999999999999996,50.84447269593065,47.82228889629426,0.7173343334444139,0.38999999999999996,0.010033444816053512
0.02,right_kp_0.02.txt,2400,6,0.03361111111111111,0.060000000000000005,10.000000000000009,7.500000000000007,3.777777777777778,29.33333333333333,53.99507060457315,53.73264411114673,1.074652882222935,0.5866666666666667,0.013377926421404682
0.025,right_kp_0.025.txt,2400,6,0.035,0.075,14.999999999999991,9.16666666666667,5.0,26.111111111111114,50.87604055726689,50.390445218933316,1.259761130473333,0.6527777777777778,0.016722408026755852
