old_target,target,step_cps,rise_time_s,peak_time_s,overshoot_cps,overshoot_percent,settling_time_s,settling_band_cps,steady_mean_cps,steady_mean_error_cps,steady_mae_cps,steady_rmse_cps,steady_error_std_cps,steady_speed_std_cps,steady_mean_pwm,steady_pwm_std,steady_mean_abs_pid,peak_abs_pid,saturation_fraction,kp,filename,segment,samples
0.0,2000.0,2000.0,0.036666666666666674,0.6900000000000001,100.00000000000009,5.000000000000004,0.05,150.0,1984.6666666666667,15.333333333333334,27.333333333333332,52.28129047119374,49.982219060604166,49.982219060604166,63.986370500000014,0.7497332859090625,0.41,30.0,0.0,0.015,right_kp_0.015.txt,0,299
2000.0,4000.0,2000.0,0.03523809523809524,0.14,100.00000000000009,5.000000000000004,0.05,150.0,3979.3333333333335,20.666666666666668,26.0,50.99019513592785,46.6142562837689,46.61425628376891,74.45274600000002,0.6992138442565335,0.39,28.5,0.006666666666666667,0.015,right_kp_0.015.txt,1,300
4000.0,6000.0,2000.0,0.045000000000000005,1.35,100.00000000000009,5.000000000000004,0.06,150.0,5978.0,22.0,26.0,50.99019513592785,46.0,46.0,84.85912139999999,0.69,0.39,30.0,0.010033444816053512,0.015,right_kp_0.015.txt,2,299
0.0,-2000.0,-2000.0,0.03,0.06,100.00000000000009,5.000000000000004,0.05,150.0,-1994.6666666666667,-5.333333333333333,33.333333333333336,57.735026918962575,57.48816303282693,57.48816303282693,-63.654714700000014,0.8623224454924039,0.5,30.0,0.0,0.015,right_kp_0.015.txt,4,299
-2000.0,-4000.0,-2000.0,0.03750000000000001,0.33,100.00000000000009,5.000000000000004,0.05,150.0,-3986.6666666666665,-13.333333333333334,22.666666666666668,47.60952285695233,45.70436400267363,45.70436400267363,-73.85942379999999,0.6855654600401043,0.34,30.0,0.0033444816053511705,0.015,right_kp_0.015.txt,5,299
-4000.0,-6000.0,-2000.0,0.04,0.78,100.00000000000009,5.000000000000004,0.06,150.0,-5980.666666666667,-19.333333333333332,20.666666666666668,45.46060565661952,41.144730997891934,41.144730997891934,-84.03413300000003,0.617170964968379,0.31,30.0,0.01,0.015,right_kp_0.015.txt,6,300
0.0,2000.0,2000.0,0.03166666666666667,0.06,100.00000000000009,5.000000000000004,0.04,150.0,1998.0,2.0,32.666666666666664,57.154760664940824,57.11975723571194,57.11975723571194,63.79637050000001,1.1423951447142386,0.6533333333333333,30.0,0.0,0.02,right_kp_0.02.txt,0,300
2000.0,4000.0,2000.0,0.034999999999999996,0.06,200.00000000000017,10.000000000000009,0.07,150.0,3990.0,10.0,24.666666666666668,49.6655480858378,48.64839839775475,48.64839839775475,74.34274600000002,0.972967967955095,0.49333333333333335,30.0,0.006666666666666667,0.02,right_kp_0.02.txt,1,300
4000.0,6000.0,2000.0,0.04,0.08,100.00000000000009,5.000000000000004,0.06,150.0,5994.0,6.0,23.333333333333332,48.3045891539648,47.93050524804984,47.93050524804984,84.6491214,0.9586101049609969,0.4666666666666667,30.0,0.013377926421404682,0.02,right_kp_0.02.txt,2,299
0.0,-2000.0,-2000.0,0.028333333333333335,0.06,200.00000000000017,10.000000000000009,0.07,150.0,-2000.0,0.0,28.0,52.91502622129181,52.91502622129181,52.91502622129181,-63.574714700000015,1.0583005244258363,0.56,30.0,0.0,0.02,right_kp_0.02.txt,4,300
-2000.0,-4000.0,-2000.0,0.03,0.06,200.00000000000017,10.000000000000009,0.07,150.0,-3999.3333333333335,-0.6666666666666666,36.666666666666664,60.55300708194983,60.54933709151755,60.549337091517536,-73.67275713333332,1.2109867418303508,0.7333333333333333,30.0,0.006666666666666667,0.02,right_kp_0.02.txt,5,300
