old_target,target,step_cps,rise_time_s,peak_time_s,overshoot_cps,overshoot_percent,settling_time_s,settling_band_cps,steady_mean_cps,steady_mean_error_cps,steady_mae_cps,steady_rmse_cps,steady_error_std_cps,steady_speed_std_cps,steady_mean_pwm,steady_pwm_std,steady_mean_abs_pid,peak_abs_pid,saturation_fraction,kp,filename,segment,samples
0.0,2000.0,2000.0,0.27499999999999997,0.51,0.0,0.0,2.98,150.0,1842.6666666666667,157.33333333333334,157.33333333333334,164.92422502470643,49.45929864264376,49.459298642643745,62.83969119999999,7.105427357601002e-15,0.0,0.0,0.0,0.0,left_kp_0.0.txt,0,299
2000.0,4000.0,2000.0,0.26,0.54,0.0,0.0,nan,150.0,3838.6666666666665,161.33333333333334,161.33333333333334,168.52299546352717,48.698619647332464,48.698619647332464,72.6493835,0.0,0.0,0.0,0.0,0.0,left_kp_0.0.txt,1,299
4000.0,6000.0,2000.0,0.3,1.97,0.0,0.0,2.98,150.0,5880.0,120.0,120.0,127.54084313139327,43.20493798938573,43.20493798938573,82.45907590000002,1.4210854715202004e-14,0.0,0.0,0.0,0.0,left_kp_0.0.txt,2,299
0.0,-2000.0,-2000.0,0.195,0.5,0.0,0.0,2.75,150.0,-1919.3333333333333,-80.66666666666667,80.66666666666667,92.01449161228173,44.26686746942408,44.26686746942408,-63.86317830000001,7.105427357601002e-15,0.0,0.0,0.0,0.0,left_kp_0.0.txt,4,300
-2000.0,-4000.0,-2000.0,0.20500000000000002,1.7,0.0,0.0,2.68,150.0,-3894.6666666666665,-105.33333333333333,105.33333333333333,113.13708498984761,41.290300179205396,41.29030017920539,-74.28636170000001,1.4210854715202004e-14,0.0,0.0,0.0,0.0,left_kp_0.0.txt,5,299
-4000.0,-6000.0,-2000.0,0.26,0.45,0.0,0.0,nan,150.0,-5841.333333333333,-158.66666666666666,158.66666666666666,166.1324772583615,49.2431608336517,49.24316083365169,-84.70954129999998,1.4210854715202004e-14,0.0,0.0,0.0,0.0,left_kp_0.0.txt,6,299
0.0,2000.0,2000.0,0.03666666666666667,0.09,0.0,0.0,0.08,150.0,1952.6666666666667,47.333333333333336,47.333333333333336,68.79922480183431,49.92883824894076,49.92883824894074,63.313024533333326,0.49928838248940755,0.47333333333333333,20.0,0.0,0.01,left_kp_0.01.txt,0,300
2000.0,4000.0,2000.0,0.045000000000000005,0.1,0.0,0.0,0.08,150.0,3947.3333333333335,52.666666666666664,52.666666666666664,72.5718035235908,49.92883824894076,49.92883824894076,73.17605016666667,0.49928838248940755,0.5266666666666666,20.0,0.0,0.01,left_kp_0.01.txt,1,299
4000.0,6000.0,2000.0,0.049999999999999996,0.13,0.0,0.0,0.08,150.0,5946.0,54.0,54.0,73.48469228349535,49.839743177508446,49.839743177508446,82.99907590000001,0.4983974317750845,0.54,20.0,0.006688963210702341,0.01,left_kp_0.01.txt,2,299
0.0,-2000.0,-2000.0,0.043333333333333335,1.56,100.00000000000009,5.000000000000004,0.07,150.0,-1973.3333333333333,-26.666666666666668,30.666666666666668,55.37749241945383,48.53406592853679,48.53406592853679,-64.12984384866668,0.4853389700254187,0.30666666666666664,20.0,0.0,0.01,left_kp_0.01.txt,4,300
-2000.0,-4000.0,-2000.0,0.049999999999999996,0.09,0.0,0.0,0.09,150.0,-3961.3333333333335,-38.666666666666664,38.666666666666664,62.1825270205921,48.698619647332464,48.698619647332464,-74.67302836666668,0.4869861964733246,0.38666666666666666,20.0,0.0,0.01,left_kp_0.01.txt,5,299
-4000.0,-6000.0,-2000.0,0.060000000000000005,0.12,0.0,0.0,0.11,150.0,-5946.666666666667,-53.333333333333336,53.333333333333336,73.02967433402215,49.88876515698588,49.88876515698589,-85.2428746333333,0.4988876515698588,0.5333333333333333,21.0,0.01,0.01,left_kp_0.01.txt,6,300
0.0,2000.0,2000.0,0.028000000000000004,0.07,100.00000000000009,5.000000000000004,0.04,150.0,1976.0,24.0,29.333333333333332,54.1602560309064,48.55237721608833,48.55237721608833,63.319691199999994,0.9710475443217698,0.5866666666666667,30.0,0.0,0.02,left_kp_0.02.txt,0,299
2000.0,4000.0,2000.0,0.03333333333333334,0.06,100.00000000000009,5.000000000000004,0.05,150.0,3968.0,32.0,32.0,56.568542494923804,46.647615158762406,46.647615158762406,73.2893835,0.9329523031752481,0.64,30.0,0.006688963210702341,0.02,left_kp_0.02.txt,1,299
4000.0,6000.0,2000.0,0.04,0.06,0.0,0.0,0.06,150.0,5965.333333333333,34.666666666666664,34.666666666666664,58.87840577551898,47.59084879353266,47.590848793532665,83.15240923333334,0.9518169758706531,0.6933333333333334,30.0,0.010033444816053512,0.02,left_kp_0.02.txt,2,299
0.0,-2000.0,-2000.0,0.03,0.06,100.00000000000009,5.000000000000004,0.05,150.0,-1984.0,-16.0,24.0,48.98979485566356,46.3033476111609,46.3033476111609,-64.18317752,0.9260655372069712,0.48,30.0,0.0,0.02,left_kp_0.02.txt,4,299
-2000.0,-4000.0,-2000.0,0.0375,0.15,100.00000000000009,5.000000000000004,0.05,150.0,-3976.6666666666665,-23.333333333333332,28.666666666666668,53.54126134736337,48.18944098266987,48.189440982669865,-74.75302836666668,0.9637888196533975,0.5733333333333334,30.0,0.01,0.02,left_kp_0.02.txt,5,300
-4000.0,-6000.0,-2000.0,0.043,0.06,0.0,0.0,0.06,150.0,-5966.666666666667,-33.333333333333336,33.333333333333336,57.735026918962575,47.14045207910317,47.14045207910317,-85.37620796666664,0.9428090415820634,0.6666666666666666,30.0,0.013377926421404682,0.02,left_kp_0.02.txt,6,299
0.0,2000.0,2000.0,0.03133333333333334,0.05,200.00000000000017,10.000000000000009,0.08,150.0,1988.6666666666667,11.333333333333334,24.666666666666668,49.6655480858378,48.35516748210291,48.3551674821029,63.17969119999999,1.4506550244630896,0.74,30.0,0.0,0.03,left_kp_0.03.txt,0,299
2000.0,4000.0,2000.0,0.028333333333333335,0.05,100.00000000000009,5.000000000000004,0.04,150.0,3979.3333333333335,20.666666666666668,22.0,46.9041575982343,42.105687132368345,42.10568713236834,73.2693835,1.2631706139710501,0.66,30.0,0.010033444816053512,0.03,left_kp_0.03.txt,1,299
4000.0,6000.0,2000.0,0.03666666666666667,0.07,100.00000000000009,5.000000000000004,0.05,150.0,5978.0,22.0,30.0,54.772255750516614,50.15974481593781,50.15974481593781,83.11907590000001,1.5047923444781346,0.9,30.0,0.013333333333333334,0.03,left_kp_0.03.txt,2,300
0.0,-2000.0,-2000.0,0.03,0.06,200.00000000000017,10.000000000000009,0.09,150.0,-2000.0,0.0,36.0,60.0,60.0,60.0,-63.863177598000014,1.7999988300002445,1.08,30.0,0.0,0.03,left_kp_0.03.txt,4,299
-2000.0,-4000.0,-2000.0,0.034999999999999996,0.06,200.00000000000017,10.000000000000009,0.07,150.0,-3984.0,-16.0,21.333333333333332,46.188021535170066,43.32820482472512,43.32820482472512,-74.76636170000002,1.2998461447417538,0.64,30.0,0.010033444816053512,0.03,left_kp_0.03.txt,5,299
